iter	Passed	Remaining
571	9265	6932
572	9278	6914
573	9290	6894
574	9305	6878
575	9322	6862
576	9336	6844
577	9351	6827
578	9369	6812
579	9383	6794
580	9397	6777
581	9414	6761
582	9429	6744
583	9445	6728
584	9464	6713
585	9478	6696
586	9493	6679
587	9532	6679
588	9559	6670
589	9585	6661
590	9602	6645
591	9616	6627
592	9629	6609
593	9643	6591
594	9662	6576
595	9676	6559
596	9690	6541
597	9705	6524
598	9720	6507
599	9734	6489
600	9751	6473
601	9767	6457
602	9784	6442
603	9801	6426
604	9817	6409
605	9833	6393
606	9848	6376
607	9863	6359
608	9881	6344
609	9896	6327
610	9912	6310
611	9929	6294
612	9944	6278
613	9960	6261
614	9976	6245
615	9990	6228
616	10007	6211
617	10023	6195
618	10040	6179
619	10056	6163
620	10073	6147
621	10089	6131
622	10105	6115
623	10121	6099
624	10138	6083
625	10156	6067
626	10172	6051
627	10190	6036
628	10206	6020
629	10225	6005
630	10241	5989
631	10258	5973
632	10275	5957
633	10291	5941
634	10308	5925
635	10325	5909
636	10342	5893
637	10357	5877
638	10374	5860
639	10390	5844
640	10408	5829
641	10429	5815
642	10439	5796
643	10456	5780
644	10473	5764
645	10488	5747
646	10505	5731
647	10525	5717
648	10543	5702
649	10561	5687
650	10598	5682
651	10644	5681
652	10663	5666
653	10679	5650
654	10695	5633
655	10712	5617
656	10728	5601
657	10745	5585
658	10762	5569
659	10779	5552
660	10800	5539
661	10818	5523
662	10835	5507
663	10852	5491
664	10868	5475
665	10886	5459
666	10902	5442
667	10919	5427
668	10936	5410
669	10953	5394
670	10970	5378
671	10987	5363
672	11004	5347
673	11013	5327
674	11028	5310
675	11045	5294
676	11063	5278
677	11079	5261
678	11095	5245
679	11112	5229
680	11127	5212
681	11143	5196
682	11160	5180
683	11177	5164
684	11194	5147
685	11212	5132
686	11230	5116
687	11246	5100
688	11262	5083
689	11278	5067
690	11295	5051
691	11310	5034
692	11327	5017
693	11343	5001
694	11361	4985
695	11377	4969
696	11400	4955
697	11416	4939
698	11433	4923
699	11449	4907
700	11465	4890
701	11480	4873
702	11499	4858
703	11515	4841
704	11534	4826
705	11550	4810
706	11567	4793
707	11585	4778
708	11600	4761
709	11625	4748
710	11663	4741
711	11705	4734
712	11723	4718
713	11738	4702
714	11755	4685
715	11771	4669
716	11788	4652
717	11804	4636
718	11823	4620
719	11840	4604
720	11858	4588
721	11876	4573
722	11895	4557
723	11911	4540
724	11928	4524
725	11945	4508
726	11961	4491
727	11979	4475
728	11997	4459
729	12013	4443
730	12029	4426
731	12047	4410
732	12063	4394
733	12080	4377
734	12097	4361
735	12113	4345
736	12128	4328
737	12143	4311
738	12158	4294
739	12174	4277
740	12188	4260
741	12203	4243
742	12214	4225
743	12228	4207
744	12244	4190
745	12257	4173
746	12270	4155
747	12284	4138
748	12296	4120
749	12309	4103
750	12321	4085
751	12335	4067
752	12348	4050
753	12363	4033
754	12376	4016
755	12389	3998
756	12403	3981
757	12415	3963
758	12427	3946
759	12438	3927
760	12453	3911
761	12467	3893
762	12483	3877
763	12497	3860
764	12510	3843
765	12526	3826
766	12541	3809
767	12547	3790
768	12560	3773
769	12573	3755
770	12588	3739
771	12601	3721
772	12614	3704
773	12627	3686
774	12639	3669
775	12650	3651
776	12663	3634
777	12679	3617
778	12701	3603
779	12724	3588
780	12755	3576
781	12772	3560
782	12787	3543
783	12801	3526
784	12814	3509
785	12820	3490
786	12834	3473
787	12847	3456
788	12862	3439
789	12875	3422
790	12889	3405
